word,hook_kind,hook_text
Engender,morphology,"""en-"" (in) + ""gen"" (birth) = to give birth to a situation or a feeling of trust."
Enigmatic,sound_spelling,"Enigma machine - highly mysterious and impossible to crack, just like the WWII code machine."
Enmity,sound_spelling,"Enemy - the intense, deeply rooted hatred you feel toward a bitter enemy."
Ennui,sound_spelling,"Are we? - ""Are we there yet?"" asked the kid in the backseat, suffering from extreme, soul-crushing boredom."
Entail,,
Enthrall,etymology_story,"Originally meant to put someone in ""thrall"" (slavery). Now it means to capture someone's attention so completely that they are a willing…"
Ephemeral,etymology_story,"From Greek ephemeros (lasting only one day). Originally used by biologists for short-lived insects like mayflies, now means anything…"
Epistolary,sound_spelling,Pistol - writing a highly formal series of letters to threaten a duel with a pistol.
Epitome,sound_spelling,"Epic tome - an epic, massive tome that serves as the perfect, flawless example of fantasy literature."
Equanimity,morphology,"""equ"" (equal) + ""anim"" (mind/spirit) = keeping an even, perfectly balanced mind under intense stress."
Equivocal,morphology,"""equi"" (equal) + ""voc"" (voice) = a politician speaking with two equal voices, making their stance completely ambiguous and unclear."
Erudite,morphology,"""e-"" (out) + ""rud"" (raw/rude) = trained completely out of a raw, ignorant state into profound scholarly knowledge."
Eschew,sound_spelling,"Ah - choo!-you sneeze, and I deliberately avoid you to escape the germs."
Esoteric,sound_spelling,Isolated - knowledge that is so highly isolated that only a tiny group of experts actually understand it.
Espouse,sound_spelling,"Spouse - to marry yourself to a political idea or belief, defending it just like you would a spouse."
Ethereal,morphology,"""ether"" (upper air) = light, airy, and belonging entirely to the heavens rather than earth."
Etymology,,
Euphoric,morphology,"""eu-"" (good) + ""pherein"" (bear) = bearing a feeling of intense, overwhelmingly good happiness."
Evanescent,morphology,"""e-"" (out) + ""vanescere"" (vanish) = fading rapidly out of sight; vanishing like vapor."
Evince,sound_spelling,Evidence - to clearly show evidence or proof of a hidden feeling.
Exacerbate,sound_spelling,Extra bad - making a bad situation extra bad by interfering.
Exalt,sound_spelling,Exhale - exhaling in pure awe as you praise and elevate a hero to a high rank.
Exasperate,sound_spelling,"Ex-aspirin - you have a splitting headache and realize you are out of aspirin, which thoroughly annoys and frustrates you."
Excavate,morphology,"""ex-"" (out) + ""cav"" (cave) = to hollow out a cave or systematically dig historical artifacts out of the ground."
Exculpate,morphology,"""ex-"" (out) + ""culp"" (blame) = to officially take the blame off someone's record."
Excursion,,
Execrable,sound_spelling,Excrement - a movie so utterly foul and detestable it belongs in the sewer with the excrement.
Exhort,sound_spelling,Exhaust - cheering and urging your team on so intensely from the sidelines that you exhaust yourself.
Exigent,sound_spelling,"Exit gent - the building is currently on fire, so it is highly urgent and demanding that the gentleman exits immediately."
Exonerate,morphology,"""ex-"" (out) + ""onus"" (burden) = taking the heavy burden of guilt permanently off someone's shoulders."
Exorbitant,morphology,"""ex-"" (out) + ""orbit"" = a price tag so insanely high it has flown completely out of orbit."
Expedient,morphology,"""ex-"" (out) + ""ped"" (foot) = originally meaning to free a foot from a trap; doing what is most convenient and practical to solve a problem…"
Expiate,sound_spelling,Expiration - the pirate must do good deeds to make amends for his crimes before his expiration date.
Expunge,sound_spelling,Sponge - using a massive sponge to completely wipe away and erase a criminal record.
Expurgate,sound_spelling,Purge - the school board deciding to purge a classic book of all its offensive content before assigning it.
Extant,sound_spelling,X-tent - the ancient explorer's tent still miraculously stands; it currently exists and survived the storm.
Extol,sound_spelling,Toll - paying the toll bridge operator with highly enthusiastic praise instead of actual money.
Extraneous,morphology,"""extra"" (outside) = coming from the outside and therefore entirely irrelevant to the core subject."
Extricate,sound_spelling,Trick - finally figuring out the puzzle's trick to free yourself from the trap.
Exult,sound_spelling,Vault-pole - vaulting high into the air out of sheer triumph and joy after winning gold.
Fabricate,,
Facile,morphology,"""fac"" (do/make) = an argument that is so easy to make that it is superficial and entirely lacks depth."
Fallacious,morphology,"""fall"" (deceive) = based on a false, highly deceitful premise."
Fastidious,sound_spelling,Fast tidier - obsessing over every tiny detail; nothing sloppy gets past.
Fathom,etymology_story,Originally a nautical unit of measurement for water depth (about 6 feet). To fathom a problem is to successfully reach the very bottom of…
Fatuous,sound_spelling,"Tattoo us - two drunk, incredibly silly friends shouting ""Tattoo us!"" at 3 AM; a foolish, pointless idea."
Fecund,sound_spelling,Feces - putting cow feces (manure) on the soil makes it highly fertile and incredibly productive.
Felicitous,sound_spelling,"Fleece - finding a warm fleece jacket in your trunk right as a blizzard hits is a highly fortunate, well-timed event."
Feral,sound_spelling,"Fur all - a stray animal covered in fur all over, acting completely wild and untamed."
Fervent,sound_spelling,"Fever - having a burning, passionate fever for a political cause."
Fetid,sound_spelling,Feet - a swamp smelling as horrific as a rotting pair of unwashed feet.
Fetter,sound_spelling,Feet - putting heavy iron chains on a prisoner's feet to severely restrict them.
Fickle,sound_spelling,Pickle - you can't decide if you want a sweet or a sour pickle because your tastes change constantly and unpredictably.
Fidelity,morphology,"""fid"" (trust/faith) = strict faithfulness and unwavering loyalty."
Figurative,,
Flabbergasted,,
Flaccid,sound_spelling,"Flat - a tire that is completely flat, limp, and entirely lacking firmness."
Flagrant,sound_spelling,Flag - a foul on the basketball court so obviously bad and intentional the referee throws a giant penalty flag.
Florid,morphology,"""flor"" (flower) = writing that is heavily decorated and excessively flowery."
Flout,sound_spelling,"Fly out - to openly mock and break the rules, then fly out of the country to avoid arrest."
Foil,sound_spelling,Aluminum foil - wrapping the villain's evil plans in heavy aluminum foil to completely block and ruin them.
Forage,,
Forbearance,sound_spelling,Bear - having the immense patience and self-control not to shoot the bear when it crosses your path.
Forestall,sound_spelling,Before stall - placing a heavy stall in the road before the enemy arrives to entirely prevent their advance.
Forlorn,sound_spelling,"Torn - your heart is totally torn because you are pitifully sad, lonely, and abandoned."
Forsake,,
Fortitude,morphology,"""fort"" (strong) = immense mental strength and courage while enduring deep pain."
Fortuitous,morphology,"""fortun"" (chance) = something great happening by a lucky, happy accident rather than design."
Forum,,
Foster,,
Fractious,morphology,"""fract"" (break) = a group that is easily broken into arguments; highly irritable and unruly."
Fraught,sound_spelling,Caught - a tense situation where you are constantly worried you will be caught because the room is filled with danger.
Frenetic,sound_spelling,"Frenzy - moving with wild, incredibly fast, frantic energy."
Frivolous,sound_spelling,"Free volley - playing a completely meaningless, silly free volley in tennis instead of focusing on the actual match."
Frugal,sound_spelling,Fruit girl - the girl who only eats free fruit from the trees to save money because she is highly economical.
Furtive,sound_spelling,Fur thief - the fur thief moves quietly and secretly through the mansion to avoid being caught.
Garish,sound_spelling,"Garnish - piling way too much cheap, brightly colored garnish on a plate, making the whole meal look tacky."
Garrulous,sound_spelling,Gary rules - Gary never shuts up about how much he rules; an excessively talkative guy.
Genial,morphology,"""gen"" (nature/born) = having a naturally friendly, warm, and cheerful disposition."
Gluttony,,
Goad,sound_spelling,Goat - poking a stubborn goat repeatedly with a sharp stick to provoke it to move.
Gourmand,sound_spelling,"Gourmet man - a man who loves eating rich, gourmet food in excessive amounts."
Grandiloquence,morphology,"""grand"" (great) + ""loqu"" (speak) = speaking in a massive, overly pompous way."
Grandiose,,
Gratuitous,sound_spelling,"Gratuity - adding an unnecessary, uncalled-for extra tip when the service was already bad."
Gregarious,morphology,"""greg"" (flock) = loving to be part of the flock; highly sociable and outgoing."
Grievous,sound_spelling,Grief - an injury or mistake so severe that it causes immense grief.
Guile,sound_spelling,Disguise - a criminal using a clever disguise out of pure guile and trickery.
Hackneyed,etymology_story,"From Hackney, an area in London where horses were bred to be rented out. The horses became so overworked and common that the word evolved…"
Hallowed,sound_spelling,"Halloween (All Hallows' Eve) - referring to the most holy, deeply respected evening."
Hapless,morphology,"""hap"" (luck/chance) + ""less"" = entirely without luck; doomed."
Harangue,sound_spelling,"Hear anger - a long, aggressive speech where all you hear is the speaker's intense anger."
Hardy,sound_spelling,"Hard - a plant or person tough enough to survive extremely hard, freezing conditions."
Harrowing,sound_spelling,"Arrowing - being shot at by a rain of flying arrows is a terrifying, highly distressing experience."
Haughty,sound_spelling,"High - acting incredibly high and mighty, looking down on everyone else."
Hedonist,sound_spelling,"He done it - ""He done it"" just for the sheer thrill, because a hedonist lives strictly for physical pleasure."
Hegemony,sound_spelling,Huge money - the empire with huge money has absolute dominance and control over the weaker nations.
Heinous,sound_spelling,Hate us - committing crimes so terribly wicked they make the entire world hate us.
Heterogeneous,morphology,"""hetero"" (different) + ""gen"" (kind) = made up of completely different, varied parts."
Hiatus,sound_spelling,"Hide us - the famous band begging ""hide us"" so they can take a long, badly needed break from the public."
Hierarchy,,
Hypocrisy,,
Hypothetical,,
Iconoclast,morphology,"""icon"" (image) + ""clast"" (breaker) = a rebel who attacks and breaks heavily established traditions and beliefs."
Idiosyncratic,morphology,"""idio"" (peculiar/self) = a highly unique, strange trait specific to one individual."
Idolatrous,morphology,"""idol"" = worshiping an idol or a person to an excessive, blind degree."
Ignominious,morphology,"""ig-"" (not) + ""nomin"" (name) = having your good name totally destroyed; suffering a disgraceful public defeat."
Illicit,sound_spelling,Ill - doing highly illegal things that make society ill.
Immerse,,
Immutable,morphology,"""im-"" (not) + ""mut"" (change) = a law of physics that is entirely unable to be mutated or changed."
Impassive,morphology,"""im-"" (not) + ""pass"" (feeling) = an expression showing absolutely zero emotion or feeling."
Impeccable,morphology,"""im-"" (not) + ""pecc"" (sin) = a performance or outfit that is entirely without sin or flaw."
Impecunious,morphology,"""im-"" (not) + ""pecun"" (money) = having absolutely no money."
Imperative,,
Imperious,sound_spelling,"Emperor - acting like a bossy, highly arrogant emperor barking orders."
Impertinent,morphology,"""im-"" (not) + ""pertinent"" (proper/relevant) = acting outside the bounds of proper respect; incredibly rude to an authority figure."
Impervious,morphology,"""im-"" (not) + ""per"" (through) + ""via"" (way) = providing no way through; a raincoat impervious to water."
Impetuous,sound_spelling,Impulse - acting strictly on wild impulse without thinking of the consequences.
Impinge,sound_spelling,Pinch - encroaching on someone's personal space until you literally pinch them.
Implacable,morphology,"""im-"" (not) + ""plac"" (calm/please) = an enemy whose raging anger is impossible to calm down."
Implement,,
Implicate,,
Implicit,,
Impregnable,morphology,"""im-"" (not) + ""pregnable"" (vulnerable to capture) = a heavy stone fortress that is impossible to break into."
Impudent,sound_spelling,"Rude student - a highly bold, shamelessly disrespectful student backtalking the principal."
Impute,sound_spelling,Put - to put the blame for the mistake directly onto someone else's record.
Inane,sound_spelling,Insane - a comment so painfully empty and silly it borders on insane.
Inarticulate,morphology,"""in-"" (not) + ""articulate"" = entirely unable to speak clearly or express thoughts."
Incarnate,morphology,"""in-"" (in) + ""carn"" (flesh) = a spirit or idea given physical, bodily form in the flesh."
Incendiary,morphology,"""incend"" (fire) = a bomb or a speech specifically designed to cause massive fires or conflict."
Incessant,morphology,"""in-"" (not) + ""cess"" (stop) = a dripping faucet that is never stopping."
Inchoate,sound_spelling,Inches - a business plan that is only a few inches along; just barely starting and completely unformed.
Incisive,morphology,"""in-"" (into) + ""caedere"" (cut) = mental analysis that cuts straight to the heart of the matter; razor-sharp."
Inclination,,
Incontrovertible,morphology,"""in-"" (not) + ""controvert"" (dispute) = DNA evidence that is entirely impossible to argue against."
Incorrigible,morphology,"""in-"" (not) + ""corrigere"" (correct) = a criminal so deeply bad they are completely beyond correction."
Increment,,
Incumbent,sound_spelling,Occupies the seat now - the officeholder already in power (the one whose role is filled).
Indefatigable,morphology,"""in-"" (not) + ""defatigate"" (tire) = a marathon runner whose energy is impossible to tire out."
Indigenous,,
Indigent,sound_spelling,Dig in dirt - someone so desperately poor they have to dig in the dirt to find food.
Indignation,morphology,"""in-"" (not) + ""dign"" (worthy) = fierce anger sparked by being treated in a completely unworthy or unfair way."
Indolent,sound_spelling,Indoor tent - laying lazily in an indoor tent all day doing absolutely nothing.
Indomitable,morphology,"""in-"" (not) + ""domit"" (tame) = an underdog spirit that is impossible to crush or tame."
Induce,,
Ineffable,morphology,"""in-"" (not) + ""effable"" (speakable) = looking at the Grand Canyon and feeling an awe so immense it cannot be expressed in words."
Inept,morphology,"""in-"" (not) + ""apt"" (skilled) = entirely clumsy and lacking any skill for the job."
Inexorable,morphology,"""in-"" (not) + ""exorare"" (persuade) = the marching army was impossible to persuade or stop."
Inextricable,morphology,"""in-"" (not) + ""extricate"" (untangle) = two headphones hopelessly and impossibly tangled together."
Infamy,morphology,"""in-"" (not) + ""fame"" = possessing world fame, but strictly for highly evil reasons."
Infusion,,
Ingenious,,
Ingenuous,sound_spelling,"Genuine - someone with a highly innocent, trusting, and completely genuine nature."
Inhibit,,
Inimical,morphology,"""in-"" (not) + ""amicus"" (friend) = deeply unfriendly, hostile, and actively harmful."
Iniquity,morphology,"""in-"" (not) + ""equ"" (fair/equal) = a situation of gross injustice or deeply wicked behavior."
Injunction,,
Innate,morphology,"""in-"" (in) + ""nat"" (born) = a perfect pitch musical talent you were naturally born with."
Innocuous,morphology,"""in-"" (not) + ""noc"" (harm) = entirely safe and harmless."
Innovate,,
Innuendo,,
Inoculate,,
Inquisitor,,
Insatiable,morphology,"""in-"" (not) + ""satiable"" (satisfied) = a hunger for power that is absolutely impossible to satisfy."
Insidious,sound_spelling,"Inside us - a dangerous, sneaky disease spreading quietly inside us without being noticed until it's too late."
Insinuate,,
Insipid,sound_spelling,Sip it - the tea is so totally flavorless and boring you can barely force yourself to sip it.
Insolent,sound_spelling,Insulting - a teenager showing an incredibly rude and insulting lack of respect to a judge.
Instigate,,
Insular,morphology,"""insula"" (island) = having a highly isolated and narrow-minded worldview, living purely on a cultural island."
Insurgent,morphology,"""in-"" (against) + ""surgere"" (rise) = rebels rising up violently against the established government."
Integral,,
Interject,morphology,"""inter"" (between) + ""ject"" (throw) = sharply throwing your own comment between other speakers' words."
Interlocutor,morphology,"""inter"" (between) + ""loc"" (speak) = the specific person you are speaking back and forth with in a conversation."
Interminable,morphology,"""in-"" (not) + ""termin"" (end) = a boring university lecture that feels completely endless."
Intimation,sound_spelling,"Intimate - quietly sharing a very subtle, intimate hint rather than a direct statement."
Intractable,morphology,"""in-"" (not) + ""tract"" (pull/manage) = a highly stubborn problem or person that is utterly unmanageable."
Intransigent,sound_spelling,Transfer - a negotiator aggressively refusing to transfer or compromise their original position.
Intrepid,morphology,"""in-"" (not) + ""trepidus"" (alarmed) = an explorer who is completely fearless and undaunted by danger."
Inundate,morphology,"""in-"" (into) + ""unda"" (wave) = being completely flooded by a massive wave of emails or tasks."
Inure,sound_spelling,In your - the freezing cold has been in your life for so long you've grown completely numb and used to it.
Invective,sound_spelling,"Infective - highly abusive, toxic language that spreads through a crowd like an infection."
Inveterate,morphology,"""in-"" (in) + ""veter"" (old) = an extremely old, deeply established habit you cannot break."
Inviolable,morphology,"""in-"" (not) + ""violable"" = an absolute rule that is entirely safe from being violated or broken."
Irascible,sound_spelling,Erasable - a teacher with a terrible temper who violently snaps when you use an un-erasable pen on the whiteboard.
Iridescent,,
Irreverence,morphology,"""ir-"" (not) + ""revere"" (respect) = laughing out loud at a funeral; showing a complete lack of proper respect."
Irrevocable,morphology,"""ir-"" (not) + ""re"" (back) + ""voc"" (call) = a final decision that can absolutely never be called back."
Jubilant,sound_spelling,"Jubilee - a massive, roaring celebration full of intense joy."
Judicious,morphology,"""jud"" (judge) = a leader possessing incredibly good, careful judgment."
Juxtaposition,,
Knell,sound_spelling,"Bell - the incredibly slow, solemn ringing of a funeral bell."
Kudos,,
Laceration,,
Laconic,etymology_story,"From Laconia, the region of ancient Sparta. The Spartans were highly famous for giving incredibly brief, blunt, and tough answers to their…"
Languid,sound_spelling,"Language - speaking in a highly slow, tired, and lazy language because you have zero energy."
Larceny,,
Largess,sound_spelling,Large - a highly generous billionaire handing out large sums of cash to charity.
Latent,sound_spelling,"Late tent - the true talent is hiding asleep in the tent, waiting to emerge late in the game."
Laudatory,morphology,"""laud"" (praise) = a speech expressing intense, glowing praise for a hero."
Lavish,,
Legerdemain,etymology_story,"From the French phrase léger de main meaning ""light of hand."" It is exactly the skill a magician or pickpocket uses for sleight of hand…"
Lenient,,
Lethargic,,
Liability,,
Libertarian,,
Licentious,sound_spelling,"License - acting recklessly, as if you have a government license to break all moral and sexual rules."
Limpid,sound_spelling,"Liquid - a mountain stream that is completely clear, pure, and see-through liquid."
Linchpin,,
Lithe,,
Litigant,,
Lucid,morphology,"""luc"" (light) = a complex argument suddenly made completely clear and brilliantly illuminated."
Luminous,morphology,"""lumin"" (light) = brightly shining and radiating light."
Lurid,sound_spelling,"Lure in - a tabloid using violently graphic, shocking headlines strictly to lure readers in."
Maelstrom,,
Magnanimous,morphology,"""magn"" (great) + ""anim"" (spirit) = a leader with a massive, highly forgiving spirit toward defeated enemies."
Malediction,morphology,"""mal"" (bad) + ""dict"" (speak) = a witch speaking a dark, terrible curse over a village."
Malevolent,morphology,"""mal"" (bad) + ""vol"" (wish) = heavily wishing severe evil and harm on others."
Malleable,sound_spelling,Mallet - a metal that is soft and flexible enough to be easily shaped by a mallet.
Mandate,,
Manifest,,
Manifold,morphology,"""mani"" (many) + ""fold"" = having many different, highly diverse folds or forms."
Maudlin,sound_spelling,Model in - a model in a cheap soap opera crying excessively and artificially over a tiny broken nail.
Maverick,etymology_story,"Named after Samuel Maverick, an 1800s Texas rancher who famously refused to brand his cattle. It completely evolved to mean any…"
Mawkish,sound_spelling,Ma kiss - your Ma aggressively kissing your cheek in front of your high school friends; overly sentimental and sickening.
Maxim,sound_spelling,"Maximum - a highly condensed, short phrase carrying the absolute maximum amount of truth."
Meager,,
Medley,,
Mendacious,sound_spelling,Mend - having to desperately mend your story because you were caught being highly deceitful and lying.
Mercurial,etymology_story,"Derived from the Roman god Mercury (and the liquid metal). Describes someone prone to incredibly rapid, unpredictable, and explosive mood…"
Meritorious,morphology,"""merit"" (deserve) = an action highly deserving of intense praise and reward."
Metamorphosis,morphology,"""meta"" (change) + ""morph"" (shape) = a caterpillar undergoing a complete physical transformation into a butterfly."
Meticulous,,
Mitigate,,
Moderate,,
Modicum,sound_spelling,"Modest crumb - having only a tiny, extremely modest crumb of respect left for someone."
Modulate,,
Mollify,morphology,"""moll"" (soft) + ""fy"" (make) = to completely soften someone's raging anger with an apology."
Morass,sound_spelling,"More mass - every step sinks deeper; a hopeless mix of mud, mess, and delay."
Mores,sound_spelling,Morals - the absolutely fundamental moral customs and unwritten rules of a group.
Morose,sound_spelling,"No rose - being incredibly depressed, sullen, and gloomy because you got no rose on Valentine's Day."
Multifarious,morphology,"""multi"" (many) = a museum collection having many extremely diverse, varied parts."
Mundane,morphology,"""mund"" (world) = an ordinary, highly boring task related purely to the earthly world rather than the exciting heavens."
Munificence,morphology,"""muni"" (gift) + ""fic"" (make) = making incredibly generous, massive financial gifts."
Mutable,morphology,"""mut"" (change) = a situation that is highly prone to constant change."
Myriad,sound_spelling,Pyramid - a myriad of heavy stone blocks were used to build the massive pyramid (meaning countless or extremely high in number).
Nadir,sound_spelling,Nada - hitting absolute rock bottom where you have completely nada (nothing) left.
Nascent,sound_spelling,"New scent - a brand new born project having a nascent, totally fresh scent."
Nebulous,morphology,"""nebul"" (cloud) = an idea that is highly cloudy, vague, and undefined."
Nefarious,sound_spelling,No fairness - an utterly evil villain acting with absolutely zero fairness.
Negligent,,
Neophyte,morphology,"""neo"" (new) + ""phyt"" (plant) = a newly planted convert; an absolute, raw beginner."
Nocturnal,morphology,"""noct"" (night) = a predator highly active only in the dead of night."
Noisome,sound_spelling,Nose - an odor so absolutely foul and toxic it physically attacks your nose.
Nomadic,,
Nominal,morphology,"""nomin"" (name) = the king holds power in name only; the actual amount of control is incredibly tiny."
Nonchalant,,
Nondescript,,
Notorious,,
Novice,,
Noxious,morphology,"""nox"" (harm) = highly toxic, poisonous, and physically harmful gas."
Nuance,,
Nurture,,
Obdurate,morphology,"""ob"" (against) + ""dur"" (hard) = having a completely hardened heart against any persuasion or pity."
Obfuscate,morphology,"""ob"" (against) + ""fuscare"" (darken) = to completely darken or hide the truth to confuse the public."
Oblique,sound_spelling,"Ob-look - taking an indirect, highly slanted look at the problem rather than attacking it straight on."
Oblivious,,
Obscure,,
Obsequious,sound_spelling,"Obsessed yes - fawning on authority, agreeing endlessly to stay in the boss's good graces."
Obsolete,,
Obstinate,,
Obstreperous,sound_spelling,"Street prep - a loud, completely unruly crowd causing wild chaos while prepping in the street."
Obtuse,,
Odious,sound_spelling,"Odor - a personality or crime so deeply repulsive it hits you like a foul, sickening odor."
Officious,sound_spelling,"Office boss - an annoying, low-level coworker acting exactly like the office boss and aggressively meddling in your work."
Ominous,sound_spelling,Omen - dark storm clouds giving a threatening omen that something very bad is coming.
Onerous,sound_spelling,"On us - an incredibly heavy, punishingly difficult burden placed squarely on us."
Opulent,sound_spelling,"Opal - a massive mansion dripping in opals, diamonds, and sheer, excessive wealth."
Oration,,
Ornate,,
Orthodox,morphology,"""ortho"" (straight/correct) + ""dox"" (belief) = following the strictly established, completely traditional beliefs."
Oscillate,,
Ostensible,sound_spelling,"Sensible - presenting a sensible-sounding, fake excuse that completely hides your true motive."
Ostentatious,sound_spelling,Ostrich - walking around in an enormous ostrich-feather hat specifically to aggressively show off your wealth.
Ostracism,etymology_story,"From ancient Athens, where citizens voted to banish dangerous politicians from the city by writing their names on pieces of broken pottery…"
Pacific,morphology,"""pac"" (peace) = a demeanor that is deeply calm, tranquil, and peaceful (like the Pacific Ocean)."
Palatable,sound_spelling,Plate - the strange food on the plate is finally agreeable and okay to your taste.
Palette,,
Palliate,sound_spelling,"Pill ate - you ate a pill to soothe and hide the severe symptoms, even though it didn't actually cure the disease."
Pallid,sound_spelling,"Pale - a completely pale, sickly, and utterly lifeless face."
Panacea,morphology,"""pan"" (all) + ""akos"" (cure) = a mythical, highly sought-after cure-all for absolutely every disease."
Paradigm,,
Paradox,,
Paragon,,
Paramount,sound_spelling,"Mountain - sitting at the absolute highest, most supreme mountain peak of importance."
Pariah,sound_spelling,Mariah - Mariah acted so wildly that the entire town exiled her as a total social outcast.
Parody,,
Parsimony,sound_spelling,Purse money - tightly and fiercely guarding your purse money because you are incredibly cheap.
Partisan,,
Patent,,
Pathology,,
Pathos,morphology,"""path"" (feeling) = an artistic quality that successfully evokes incredibly deep pity or sadness in the audience."
Paucity,morphology,"""pauc"" (few) = an area suffering from a severe, highly dangerous shortage of resources."
Pejorative,sound_spelling,"Major dive - an insulting, highly negative word that makes your public reputation take a major dive."
Pellucid,morphology,"""per"" (through) + ""luc"" (light) = water or writing letting maximum light through; perfectly clear and easy to understand."
Penchant,sound_spelling,"Pendant - wearing a specific, unique pendant every day because you have a massive, natural liking for it."
Penitent,sound_spelling,Penalty tent - sitting alone in the penalty tent feeling incredibly sorry and guilty for your sins.
Penultimate,morphology,"""paene"" (almost) + ""ultimus"" (last) = the item that is exactly second to last."
Penurious,sound_spelling,"Penny furious - a guy who becomes furious if he loses even a single penny because he is desperately, severely poor."
Perfidious,morphology,"""per"" (through/away) + ""fid"" (trust) = entirely breaking your faith; highly treacherous and backstabbing."
Perfunctory,morphology,"""per"" (through) + ""funct"" (perform) = performing a daily task just to get through it, with absolutely zero actual interest or care."
Permeate,morphology,"""per"" (through) + ""meare"" (pass) = the smell of smoke managing to pass completely through every part of a room."
Pernicious,morphology,"""per"" (completely) + ""nec"" (death) = spreading a highly dangerous, quiet, and deadly harm."
Perplex,,
Perspicacity,morphology,"""per"" (through) + ""spec"" (look) = looking straight through the noise with incredibly razor-sharp mental insight."
Pert,,
Pertinacious,sound_spelling,Persistent - fiercely and stubbornly holding onto an opinion with massive persistence.
Perusal,,
Pervasive,morphology,"""per"" (through) + ""vadere"" (go) = an idea spreading rapidly and going into absolutely every corner of society."
Petulance,sound_spelling,"Pet - acting exactly like a moody, highly childish pet throwing a wild tantrum."
Philanthropic,morphology,"""phil"" (love) + ""anthrop"" (human) = giving massive wealth away entirely because of a deep love for humanity."
Phlegmatic,etymology_story,"From the ancient medical theory of the four humors. Doctors believed having too much ""phlegm"" in your body meant you had a completely…"
Pillage,,
Pinnacle,,
Pithy,sound_spelling,"Pity - it's a pity his speech was so incredibly short, but it was highly dense and effective."
Pittance,sound_spelling,Pity cents - a wage so insultingly tiny they just throw you a few extra cents out of sheer pity.
Placate,sound_spelling,"Play date - setting up a highly fun play date to completely calm down a raging, angry toddler."
Placid,sound_spelling,"Plastic - an ocean surface as completely smooth, calm, and unchanging as solid plastic."
Platitude,sound_spelling,"Flat attitude - offering a flat, highly overused cliché instead of real, helpful advice."
Plaudits,morphology,"""plaudere"" (clap) = receiving heavy, wildly enthusiastic applause and praise from the crowd."
Plausible,,
Plenitude,morphology,"""plen"" (full) = a completely full, massive abundance of food."
Plethora,sound_spelling,Plaza full - a plaza completely full of a massive overabundance of items.
Pliable,sound_spelling,"Ply - like plywood, it bends easily and is highly flexible."
Poignant,sound_spelling,Point - a sad memory so sharp it feels like it points straight into your heart.
Polemic,sound_spelling,Polemic = debate weaponized: a blistering attack essay or speech against a person or idea.
Portent,sound_spelling,Important - a highly important sign that something terrible is about to happen.
Potable,sound_spelling,Pot - water safe enough to boil in a pot and drink.
Potentate,morphology,"""potent"" (powerful) = an incredibly powerful ruler or dictator."
Pragmatic,,
Precipice,sound_spelling,Press of ice - standing dangerously on the very edge of a massive cliff of ice.
Preclude,morphology,"""pre-"" (before) + ""cludere"" (shut) = shut the door before it happens, making it impossible."
Precocious,etymology_story,"Latin praecox (""cooked before""): a child whose mind has ""cooked"" ahead of schedule."
Predilection,sound_spelling,Pre-direction - you lean in a pre-direction because you have a strong preference for it.
Preponderance,morphology,"""pre-"" (before) + ""ponder"" (weigh) = an amount so massive it outweighs everything else."
Prepossessing,sound_spelling,Possess - someone so attractive you want to possess their attention.
Presage,morphology,"""pre-"" (before) + ""sage"" (wise) = wise intuition that reads what is coming before it arrives."
Prescient,morphology,"""pre-"" (before) + ""sci"" (know) = knowing what will happen before it does."
Prescribe,,
Presumptuous,,
Pretense,,
Primeval,morphology,"""prim"" (first) + ""ev"" (age) = relating to the very first, ancient ages of the earth."
Privation,sound_spelling,Deprive - a state of extreme poverty where you are deprived of basic needs.
Probity,sound_spelling,Probe - a politician whose morals are so flawless they withstand the deepest legal probe.
Proclivity,sound_spelling,Incline-built - in lean toward a habit; a tendency so steady it feels like gravity.
Procure,,
Profane,morphology,"""pro-"" (outside) + ""fanum"" (temple) = disrespect spoken outside the sacred space."
Profligate,sound_spelling,Profits gate - throwing profits out the gate because you are reckless with money.
Profuse,morphology,"""pro-"" (forth) + ""fundere"" (pour) = pouring forth in massive abundant quantities."
Promulgate,sound_spelling,Prom gate - announcing new rules loudly right at the prom gate.
Propagate,,
Propensity,sound_spelling,Pro pen - a writer with a natural tendency to always grab a pro pen.
Propitious,sound_spelling,Profits - conditions look favorable; strong signs you could see big profits.
Propriety,sound_spelling,"Proper - acting with strict, perfectly proper, socially acceptable behavior."
Prosaic,sound_spelling,Prose - writing that sounds like ordinary prose instead of poetry; dull.
Proscribe,morphology,"""pro-"" (before) + ""scribere"" (write) = write a name on a list to legally forbid someone."
Protean,etymology_story,"From Proteus, Greek sea god who changed shape to escape - versatile, constantly shifting."
Prowess,,
Prudence,sound_spelling,Prude - so careful and cautious with choices that people joke you are a prude.
Prurient,,
Puerile,sound_spelling,Pure ill - a child acting so immaturely it makes you feel purely ill.
Pugnacious,morphology,"""pugn"" (fight) = eager to argue or fight; combative energy."
Pulchritude,sound_spelling,Pull attitude - beauty so strong it pulls the room's attitude toward you.
Punctilious,sound_spelling,Punctuation - obsessed with tiny details; corrects your text-message punctuation.
Pungent,sound_spelling,Punch in - a smell so sharp it punches you in the nose.
Punitive,morphology,"""pun"" (punish) = intended to punish, not merely to correct."
Putrid,sound_spelling,Puke - rot so foul it makes you want to puke.
Quagmire,sound_spelling,"Quack mire - a duck stuck in a muddy, complicated swamp."
Quaint,,
